year	rows	pages	min_event_date	max_event_date	retrieved_utc	fields	filter
1997	3141	1	1997-01-01	1997-12-31	2026-06-15T17:36:44Z	event_id_cnty|event_date|year|time_precision|disorder_type|event_type|sub_event_type|civilian_targeting|iso|country|admin1|admin2|admin3|latitude|longitude|geo_precision|fatalities	event_date BETWEEN 1997-01-01|1997-12-31
1998	4421	1	1998-01-01	1998-12-31	2026-06-15T17:36:54Z	event_id_cnty|event_date|year|time_precision|disorder_type|event_type|sub_event_type|civilian_targeting|iso|country|admin1|admin2|admin3|latitude|longitude|geo_precision|fatalities	event_date BETWEEN 1998-01-01|1998-12-31
1999	4758	1	1999-01-01	1999-12-31	2026-06-15T17:36:55Z	event_id_cnty|event_date|year|time_precision|disorder_type|event_type|sub_event_type|civilian_targeting|iso|country|admin1|admin2|admin3|latitude|longitude|geo_precision|fatalities	event_date BETWEEN 1999-01-01|1999-12-31
2000	4116	1	2000-01-01	2000-12-31	2026-06-15T17:36:56Z	event_id_cnty|event_date|year|time_precision|disorder_type|event_type|sub_event_type|civilian_targeting|iso|country|admin1|admin2|admin3|latitude|longitude|geo_precision|fatalities	event_date BETWEEN 2000-01-01|2000-12-31
2001	3557	1	2001-01-01	2001-12-31	2026-06-15T17:36:56Z	event_id_cnty|event_date|year|time_precision|disorder_type|event_type|sub_event_type|civilian_targeting|iso|country|admin1|admin2|admin3|latitude|longitude|geo_precision|fatalities	event_date BETWEEN 2001-01-01|2001-12-31
2002	4209	1	2002-01-01	2002-12-31	2026-06-15T17:36:57Z	event_id_cnty|event_date|year|time_precision|disorder_type|event_type|sub_event_type|civilian_targeting|iso|country|admin1|admin2|admin3|latitude|longitude|geo_precision|fatalities	event_date BETWEEN 2002-01-01|2002-12-31
2003	3655	1	2003-01-01	2003-12-31	2026-06-15T17:36:58Z	event_id_cnty|event_date|year|time_precision|disorder_type|event_type|sub_event_type|civilian_targeting|iso|country|admin1|admin2|admin3|latitude|longitude|geo_precision|fatalities	event_date BETWEEN 2003-01-01|2003-12-31
2004	3098	1	2004-01-01	2004-12-31	2026-06-15T17:36:59Z	event_id_cnty|event_date|year|time_precision|disorder_type|event_type|sub_event_type|civilian_targeting|iso|country|admin1|admin2|admin3|latitude|longitude|geo_precision|fatalities	event_date BETWEEN 2004-01-01|2004-12-31
2005	2869	1	2005-01-01	2005-12-31	2026-06-15T17:36:59Z	event_id_cnty|event_date|year|time_precision|disorder_type|event_type|sub_event_type|civilian_targeting|iso|country|admin1|admin2|admin3|latitude|longitude|geo_precision|fatalities	event_date BETWEEN 2005-01-01|2005-12-31
2006	2710	1	2006-01-01	2006-12-31	2026-06-15T17:37:00Z	event_id_cnty|event_date|year|time_precision|disorder_type|event_type|sub_event_type|civilian_targeting|iso|country|admin1|admin2|admin3|latitude|longitude|geo_precision|fatalities	event_date BETWEEN 2006-01-01|2006-12-31
2007	3838	1	2007-01-01	2007-12-31	2026-06-15T17:37:01Z	event_id_cnty|event_date|year|time_precision|disorder_type|event_type|sub_event_type|civilian_targeting|iso|country|admin1|admin2|admin3|latitude|longitude|geo_precision|fatalities	event_date BETWEEN 2007-01-01|2007-12-31
2008	5026	2	2008-01-01	2008-12-31	2026-06-15T17:37:03Z	event_id_cnty|event_date|year|time_precision|disorder_type|event_type|sub_event_type|civilian_targeting|iso|country|admin1|admin2|admin3|latitude|longitude|geo_precision|fatalities	event_date BETWEEN 2008-01-01|2008-12-31
2009	3826	1	2009-01-01	2009-12-31	2026-06-15T17:37:03Z	event_id_cnty|event_date|year|time_precision|disorder_type|event_type|sub_event_type|civilian_targeting|iso|country|admin1|admin2|admin3|latitude|longitude|geo_precision|fatalities	event_date BETWEEN 2009-01-01|2009-12-31
