iso3,continent,unregion,region,kept
AFG,Asia,Southern Asia,Asia,False
AGO,Africa,Middle Africa,Africa,True
ALB,Europe,Southern Europe,Europe,False
AND,Europe,Southern Europe,Europe,False
ARE,Asia,Western Asia,Asia,False
ARG,America,South America,South America,False
ARM,Asia,Western Asia,Asia,False
ATA,Antarctica,Antarctica,Antarctica,False
ATG,America,Caribbean,Caribbean,False
AUS,Oceania,Australia and New Zealand,Oceania,False
AUT,Europe,Western Europe,Europe,False
AZE,Asia,Western Asia,Asia,False
BDI,Africa,Eastern Africa,Africa,True
BEL,Europe,Western Europe,Europe,False
BEN,Africa,Western Africa,Africa,True
BFA,Africa,Western Africa,Africa,True
BGD,Asia,Southern Asia,Asia,False
BGR,Europe,Eastern Europe,Europe,False
BHR,Asia,Western Asia,Asia,False
BHS,America,Caribbean,Caribbean,False
BIH,Europe,Southern Europe,Europe,False
BLR,Europe,Eastern Europe,Europe,False
BLZ,America,Central America,Central America,False
BOL,America,South America,South America,False
BRA,America,South America,South America,False
BRB,America,Caribbean,Caribbean,False
BRN,Asia,South-eastern Asia,Asia,False
BTN,Asia,Southern Asia,Asia,False
BWA,Africa,Southern Africa,Africa,True
CAF,Africa,Middle Africa,Africa,True
CAN,America,Northern America,Northern America,False
CHE,Europe,Western Europe,Europe,False
CHL,America,South America,South America,False
CHN,Asia,Eastern Asia,Asia,False
CIV,Africa,Western Africa,Africa,True
CMR,Africa,Middle Africa,Africa,True
COD,Africa,Middle Africa,Africa,True
COG,Africa,Middle Africa,Africa,True
COL,America,South America,South America,False
COM,Africa,Eastern Africa,Africa,True
CPV,Africa,Western Africa,Africa,True
CRI,America,Central America,Central America,False
CUB,America,Caribbean,Caribbean,False
CYP,Asia,Western Asia,Asia,False
CZE,Europe,Eastern Europe,Europe,False
DEU,Europe,Western Europe,Europe,False
DJI,Africa,Eastern Africa,Africa,True
DMA,America,Caribbean,Caribbean,False
DNK,Europe,Northern Europe,Europe,False
DOM,America,Caribbean,Caribbean,False
DZA,Africa,Northern Africa,Africa,True
ECU,America,South America,South America,False
EGY,Africa,Northern Africa,Africa,True
ERI,Africa,Eastern Africa,Africa,True
ESP,Europe,Southern Europe,Europe,False
EST,Europe,Northern Europe,Europe,False
ETH,Africa,Eastern Africa,Africa,True
FIN,Europe,Northern Europe,Europe,False
FJI,Oceania,Melanesia,Oceania,False
FRA,Europe,Western Europe,Europe,False
FSM,Oceania,Micronesia,Oceania,False
GAB,Africa,Middle Africa,Africa,True
GBR,Europe,Northern Europe,Europe,False
GEO,Asia,Western Asia,Asia,False
GHA,Africa,Western Africa,Africa,True
GIN,Africa,Western Africa,Africa,True
GMB,Africa,Western Africa,Africa,True
GNB,Africa,Western Africa,Africa,True
GNQ,Africa,Middle Africa,Africa,True
GRC,Europe,Southern Europe,Europe,False
GRD,America,Caribbean,Caribbean,False
GRL,America,Northern America,Northern America,False
GTM,America,Central America,Central America,False
GUY,America,South America,South America,False
HND,America,Central America,Central America,False
HRV,Europe,Southern Europe,Europe,False
HTI,America,Caribbean,Caribbean,False
HUN,Europe,Eastern Europe,Europe,False
IDN,Asia,South-eastern Asia,Asia,False
IND,Asia,Southern Asia,Asia,False
IRL,Europe,Northern Europe,Europe,False
IRN,Asia,Southern Asia,Asia,False
IRQ,Asia,Western Asia,Asia,False
ISL,Europe,Northern Europe,Europe,False
ISR,Asia,Western Asia,Asia,False
ITA,Europe,Southern Europe,Europe,False
JAM,America,Caribbean,Caribbean,False
JOR,Asia,Western Asia,Asia,False
